article_number,article_details,book,chapter,section,linked_definitions,linked_articles
11,"المادة 11 من قانون العمل المصري: تنشأ لجنة عليا لتخطيط واستخدام القوى العاملة فى الداخل والخارج برئاسة الوزير	 المختص ، وتضم ممثلين للوزارات المعنية ، وكذلك ممثلين للاتحاد العام لنقابات عمال مصر ومنظمات أصحاب الأعمال تختارهم منظماتهم بالتساوى بينهم.
ويدخل فى اختصاص هذه اللجنة رسم السياسة العامة لاستخدام العمالة المصرية فى داخل جمهورية مصر العربية أو خارجها ، ووضع النظم والقواعد والإجراءات اللازمة لهذا الاستخدام.
ويصدر بتشكيل اللجنة ونظام سير العمل بها قرار من رئيس مجلس الوزراء فى مدة أقصاها ستة أشهر من تاريخ العمل بهذا القانون.

",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{},[]
12,"المادة 12 من قانون العمل المصري: مع عدم الإخلال بأحكام القانون رقم 39 لسنة 1975 بشأن تأهيل المعوقين ، على كل قادر على العمل وراغب فيه أن يتقدم بطلب لقيد اسمه بالجهة الإدارية المختصة التى يقع فى دائرتها محل إقامته مع بيان سنه ومهنته ومؤهلاته وخبراته السابقة وعلى هذه الجهة قيد تلك الطلبات بأرقام مسلسلة فور ورودها وإعطاء الطالب شهادة بحصول هذا القيد دون مقابل.
وتحدد البيانات التى يجب أن تتضمنها الشهادة المشار إليها فى الفقرة السابقة بقرار من الوزير المختص.",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
13,"المادة 13 من قانون العمل المصري: إذا كان الراغب فى العمل يمارس حرفة من الحرف التى يصدر بها قرار من الوزير المختص المشار إليها فى المادة (139) من هذا القانون وجب عليه أن يرفق بطلب القيد شهادة تحدد مستوى مهارته وترخيص مزاولة الحرفة طبقا للمادة (140) من هذا القانون،  وتثبت درجة مهارته فى شهادة القيد.
ولا يجوز تشغيل أى عامل إلا إذا كان حاصلا على هذه الشهادة.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},"[139, 140]"
14,"المادة 14 من قانون العمل المصري: مع عدم الإخلال بأحكام القانون رقم 39 لسنة 1975 بشأن تأهيل المعوقين ، لصاحب العمل الحق فى تعيين من يقع عليه اختياره ، فإذا لم يكن المرشح من بين الحاصلين على شهادة القيد المشار إليها فى المادة ( 12) من هذا القانون ، وجب عليه قيد اسمه خلال خمسة عشر يوما من إلحاقه بالعمل.
ويجوز لصاحب العمل أن يستوفى احتياجاته الوظيفية والمهنية والحرفية بالنسبة للوظائف والأعمال التى خلت أو أنشئت لديه ممن ترشحهم الجهة الإدارية المختصة التى يقع فى دائرتها محل عمله من المسجلين لديها مراعية أسبقية القيد.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{},[12]
15,"المادة 15 من قانون العمل المصري: يلتزم صاحب العمل فى المنشآت القائمة وقت تطبيق أحكام هذا القانون ، وتلك التى تنشأ	 مستقبلا بأن يرسل إلى الجهة الإدارية المختصة التى يقع فى دائرتها محل العمل خلال خمسة عشر يوما من تاريخ العمل بهذا القانون أو من تاريخ بدء العمل بالمنشأة – على حسب الأحوال – بيانا مفصلا بعدد العمال طبقا لمؤهلاتهم ومهنهم وفئات أعمارهم وجنسياتهم ونوعهم والأجور التى يتقاضونها.
وعليه خلال ثلاثين يوما من تاريخ شغل الوظيفة التى خلت لديه أن يعيد إلى الجهة الإدارية شهادة قيد العامل الصادرة منها بعد استيفاء البيانات المدونة بها ، وعليه تدوين رقم شهادة القيد وتاريخها أمام اسم العامل فى سجل قيد العمال بالمنشأة.
وعلى صاحب العمل فى المنشآت المشار إليها فى الفقرة الأولى أن يرسل إلى ذات الجهة خلال شهر يناير من كل عام البيانات الآتية:
(أ‌)	ما طرأ من تعديلات على البيانات الواردة فى الفقرة السابقة.
(ب‌)	عدد الوظائف الشاغرة بسبب الإحلال والتوسعات الجديدة.
(ت‌)	بيان بتقدير الاحتياجات المتوقعة موزعة بحسب الحالة التعليمية والمهنية خلال العام التالى.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[]
16,"المادة 16 من قانون العمل المصري: لصاحب العمل الإعلان عن الوظائف الشاغرة بمختلف وسائل الإعلام وأن يعهد إلى أحد المكاتب الاستشارية بدراسة الطلبات التى تقدم إليه وإبداء الرأي أو التوصية أو المساعدة بشأن اختيار أفضل المرشحين لهذه الوظائف.
ولا يجوز له تشغيل عمال عن طريق متعهد أو مقاول توريد عمال.
ويجوز للوزير المختص بقرار منه الترخيص للجمعيات والمؤسسات والمنظمات النقابية بالنسبة لأعضائها بإنشاء مكاتب لتشغيل المتعطلين ، وفى هذه الحالة يتعين على هذه الجهات مراعاة الأحكام الواردة فى هذا الفصل والقرار المشار إليه.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{},[]
17,"المادة 17 من قانون العمل المصري: مع عدم الإخلال بالاتفاقيات الدولية المتعلقة بالتشغيل ، تكون مزاولة عمليات إلحاق المصريين بالعمل فى الداخل أو فى الخارج عن طريق:
(‌أ)	الوزارة المختصة.
(‌ب)	الوزارات والهيئات العامة.
(‌ج)	الاتحاد العام لنقابات عمال مصر.
(‌د)	شركات القطاع العام وقطاع الأعمال العام والقطاع الخاص المصرية فيما تبرمه من تعاقدات مع الجهات الأجنبية فى حدود أعمالها وطبيعة نشاطها.
(هـ) شركات المساهمة أو شركات التوصية بالأسهم أو ذات المسئولية المحدودة ، بعد الحصول على ترخيص بذلك من الوزارة المختصة.
(و) النقابات المهنية بالنسبة لأعضائها فقط.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'},[]
18,المادة 18 من قانون العمل المصري: للمنظمات الدولية أن تزاول عمليات إلحاق المصريين للعمل خارج جمهورية مصر العربية إذا كان التعاقد مع جهات حكومية أو هيئات عامة عربية أو أجنبية.,الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{},[]
19,المادة 19 من قانون العمل المصري: تتولى الوزارة المختصة بالتعاون مع وزارة الخارجية متابعة تنفيذ الاتفاقيات الدولية والتعاقدات المتعلقة بالعمالة المصرية فى الخارج وبحث تسوية المنازعات الناشئة عن تنفيذ هذه الاتفاقيات والتعاقدات.,الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'},[]
20,"المادة 20 من قانون العمل المصري: تقدم الجهات المشار إليها فى المادتين (17) ، (18) من هذا القانون إلى الوزارة المختصة نسخة من الطلب الوارد إليها من الخارج بشأن توفير فرص العمل وشروطها موثقة من السلطات المختصة ، كما تقدم نسخة من الاتفاقات وعقود العمل المبرمة متضمنة تحديد العمل والأجر المحدد له وشروط وظروف أدائه والتزامات العامل.
ويكون للوزارة خلال عشرة أيام على الأكثر من تاريخ إخطارها بالاتفاقات والطلبات والعقود مستوفاة ، الاعتراض عليها فى حالة عدم مناسبة الأجر أو مخالفتها للنظام العام أو الآداب العامة ، فإذا انقضت المدة المشار إليها دون اعتراض من الوزارة اعتبرت الاتفاقات والطلبات والعقود موافقا عليها.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}","[17, 18]"
21,"المادة 21 من قانون العمل المصري: يحظر على الجهات المشار إليها في المادة (17) من هذا القانون تقاضى أي مقابل من العامل نظير إلحاقه بالعمل، ومع ذلك يجوز تقاضى مقابل عن ذلك من صاحب العمل.
واستثناء من أحكام الفقرة السابقة يجوز للشركات المشار إليها فى البند (هـ) من المادة (17) من هذا القانون تقاضى مبلغ لا يجاوز  (%2)من أجر العامل الذي يتم إلحاقه بالعمل وذلك عن السنة الأولى فقط كمصروفات إدارية ، ويحظر تقاضى أية مبالغ أخرى من العامل تحت أى مسمى.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[17]
22,"المادة 22 من قانون العمل المصري: مع عدم الإخلال بالشروط التى يوجبها قانون شركات المساهمة والتوصية بالأسهم والشركات ذات المسئولية المحدودة ، يشترط للحصول على الترخيص المنصوص عليه فى الفقرة (هـ) من المادة (17) من هذا القانون ما يأتى:
۱ - أن يكون المؤسسون وأعضاء مجلس الإدارة والمديرون المختصون بعمليات التشغيل من المصريين ولم يسبق الحكم على أى منهم بعقوبة جناية ، أو بعقوبة جنحة مخلة بالشرف أو الأمانة أو الآداب العامة ، مالم يكن قد رد إليه اعتباره.
۲ - ألا يقل رأس مال الشركة عن مائة لف جنيه وأن يكون مملوكا بأكمله لمصريين.
وبالنسبة للشركات التى تزاول عمليات تشغيل المصريين خارج جمهورية مصر العربية يتعين ألا يقل رأس مالها عن مائة ألف جنيه وأن تكون الأغلبية المطلقة للمؤسسين وأعضاء مجلس الإدارة من المصريين الذين يمتلكون (%15) على الأقل من رأس مالها.
۳ - أن تقدم الشركة خطاب ضمان غير مشروط وغير قابل للإلغاء صادرا من أحد البنوك العاملة فى جمهورية مصر العربية بمبلغ مائة ألف جنيه لصالح الوزارة المختصة ، وأن يكون هذا الخطاب ساريا طوال مدة سريان الترخيص،  ويتعين استكمال قيمة خطاب الضمان بمقدار ما خصم من غرامات أو تعويضات مستحقة طبقا لأحكام هذا القانون ، وذلك خلال عشرة أيام من تاريخ إخطار الشركة المرخص لها بكتاب موصى عليه مصحوب بعلم الوصول.
ويكون الترخيص لمدة خمس سنوات قابلة للتجديد وفقا للقواعد والإجراءات التى يصدر بها قرار من الوزير المختص وذلك مقابل أداء الرسم الذى يحدده لمنح الترخيص أو تجديده بما لايجاوز خمسة آلاف جنيه.
ومع ذلك يجوز للوزير المختص وقف إصدار تراخيص جديدة أو تجديد التراخيص القائمة فى ضوء احتياجات سوق العمل الفعلية
.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}",[17]
23,"المادة 23 من قانون العمل المصري: يلغى الترخيص بقرار من الوزير المختص عند ثبوت أى من الحالات الآتية:
۱ - فقد الشركة شرطا من شروط الترخيص.
۲ - تقاضى الشركة أية مبالغ من العامل نظير تشغيله بالمخالفة لأحكام هذا الفصل.
۳ - حصول الشركة على الترخيص أو تجديده أو عدم اعتراض الوزارة على اتفاق أو عقد عمل بناء على ما قدمته من بيانات غير صحيحة.
ويجوز بقرار من الوزير المختص إلغاء الترخيص فى حالة ثبوت مخالفة الشركة لحكم من الأحكام الجوهرية الواردة فى القرارات الصادرة تنفيذا لأحكام هذا الفصل.
وللوزير المختص إيقاف نشاط الشركة مؤقتا إذا نسب إليها بناء على أسباب جدية أى من الحالات المبينة فى هذه المادة ، وذلك لحين الفصل فى مدى ثبوت تلك الحالات أو حين زوال المخالفة فى الحالة المنصوص عليها فى الفقرة السابقة.
ولا يخل إلغاء الترخيص فى أى من الحالات المبينة فى هذه المادة بالمسئولية الجنائية أو المدنية أو التأديبية.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.'}",[]
24,"المادة 24 من قانون العمل المصري: يصدر الوزير المختص القرارات اللازمة لتنفيذ أحكام هذا الفصل ، وعلى الأخص القرارات المتعلقة بواجبات الشركات المرخص لها بالعمل فى مجال التشغيل ، والشروط الواجب توافرها فى مقر الشركة وتنظيم إجراءات العمل فى هذا النشاط ، وتحديد السجلات التى يتعين إمساكها واللازمة لمباشرة عملها وقواعد القيد فيها والرقابة والتفتيش عليها ، والشروط الواجب توافرها فى الإعلانات التى تنشر فى جمهورية مصر العربية عن فرص العمل ، وكذلك تحديد أسلوب ووسيلة إخطار الجهات المنصوص عليها فى المادتين (17 ، 81) من هذا القانون باعتراض الوزارة وذلك كله خلال ستين يوما من تاريخ العمل بهذا القانون

",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},"[17, 81]"
25,"المادة 25 من قانون العمل المصري: يستثنى من تطبيق أحكام هذا الفصل ما يأتي:
(أ ) الأعمال العرضية.
(ب) الوظائف الرئيسية التي يعتبر شاغلوها وكلاء مفوضين عن أصحاب الأعمال.
وللوزير المختص أن يصدر قرارا بسريان أحكام هذا الفصل على كل أو بعض الأعمال والوظائف والفئات المشار إليها فى البندين السابقين.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الأول: تنظيم تشغيل المصريين فى الداخل والخارج,{},[]
26,"المادة 26 من قانون العمل المصري: تتولى الوزارة المختصة رسم سياسة ومتابعة تشغيل العمالة غير المنتظمة وعلى الأخص عمال الزراعة الموسميين وعمال البحر وعمال المناجم والمحاجر وعمال المقاولات.
ويصدر الوزير المختص بالتشاور مع الوزراء المعنيين والاتحاد العام لنقابات عمال مصر القرارات الخاصة بتحديد القواعد المنظمة لتشغيل هذه الفئات ، واشتراطات السلامة والصحة المهنية والانتقال والإعاشة الواجب اتخاذها بشأنهم ، واللوائح المالية والإدارية التي تنظم هذا التشغيل.


",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الثانى: تنظيم عمل الأجانب,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}",[]
27,"المادة 27 من قانون العمل المصري: يخضع استخدام الأجانب في جميع منشآت القطاع الخاص ووحدات القطاع العام وقطاع الأعمال والهيئات العامة والإدارة المحلية والجهاز الإداري للدولة للأحكام الواردة في هذا الفصل ، وذلك مع مراعاة شرط المعاملة بالمثل.
ويحدد الوزير المختص حالات إعفاء الأجانب من هذا الشرط.",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الثانى: تنظيم عمل الأجانب,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
28,"المادة 28 من قانون العمل المصري: لا يجوز للأجانب أن يزاولوا عملا إلا بعد الحصول على ترخيص بذلك من الوزارة المختصة، وأن يكون مصرحا لهم بدخول البلاد والإقامة بقصد العمل.
ويقصد بالعمل في تطبيق أحكام هذا الفصل كل عمل تابع أو أية مهنة أو حرفة بما فى ذلك العمل فى الخدمة المنزلية.",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الثانى: تنظيم عمل الأجانب,{'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'},[]
29,"المادة 29 من قانون العمل المصري: يحدد الوزير المختص بقرار منه شروط الحصول على الترخيص بالعمل المشار إليه فى	 المادة السابقة وإجراءاته والبيانات التي يتضمنها وإجراءات تجديده والرسم الذي يحصل عنه بما لا يقل عن ألف جنيه مصري.
كما يحدد حالات إلغاء الترخيص قبل انتهاء مدته وحالات إعفاء الأجانب من شرط الحصول عليه.
ويلتزم كل من يستخدم أجنبيا أعفى من شرط الحصول على الترخيص بأن يخطر الجهة الإدارية المختصة بذلك الاستخدام خلال سبعة أيام من مزاولة الأجنبي للعمل ، وكذلك عند انتهاء خدمته لديه.
",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,الفصل الثانى: تنظيم عمل الأجانب,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[28]
30,"المادة 30 من قانون العمل المصري: يحدد الوزير المختص بقرار منه المهن والأعمال والحرف التى يحظر على الأجانب الاشتغال بها ، كما يحدد النسبة القصوى لاستخدامهم فـى المنشـآت والجـهات المبينة فـى المادة (27) من هذا القانون.


",الكتاب الثاني: علاقات العمل الفردية,الباب الثاني: عقد العمل الفردي,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[27]
